Name,Description,Health Benefits,Medicinal/Traditional Uses,Season & Availability,Storage & Usage,Nutrients
Mango,"Mango is commonly cultivated or used in India.
It plays an important role in local diets and agriculture.","Provides essential nutrients that support overall health.
Regular consumption contributes to balanced nutrition.","Used traditionally in Indian medicine and home remedies.
Has cultural and therapeutic uses across regions.","Available seasonally depending on the crop type and region.
Local markets supply it during peak season.","Store in cool, dry conditions to maintain freshness.
Use promptly for best taste and nutrient retention.","Contains vitamins, minerals, and dietary fiber.
Also provides macronutrients appropriate to the crop type."
Banana,"Banana is commonly cultivated or used in India.
It plays an important role in local diets and agriculture.","Provides essential nutrients that support overall health.
Regular consumption contributes to balanced nutrition.","Used traditionally in Indian medicine and home remedies.
Has cultural and therapeutic uses across regions.","Available seasonally depending on the crop type and region.
Local markets supply it during peak season.","Store in cool, dry conditions to maintain freshness.
Use promptly for best taste and nutrient retention.","Contains vitamins, minerals, and dietary fiber.
Also provides macronutrients appropriate to the crop type."
Guava,"Guava is commonly cultivated or used in India.
It plays an important role in local diets and agriculture.","Provides essential nutrients that support overall health.
Regular consumption contributes to balanced nutrition.","Used traditionally in Indian medicine and home remedies.
Has cultural and therapeutic uses across regions.","Available seasonally depending on the crop type and region.
Local markets supply it during peak season.","Store in cool, dry conditions to maintain freshness.
Use promptly for best taste and nutrient retention.","Contains vitamins, minerals, and dietary fiber.
Also provides macronutrients appropriate to the crop type."
Papaya,"Papaya is commonly cultivated or used in India.
It plays an important role in local diets and agriculture.","Provides essential nutrients that support overall health.
Regular consumption contributes to balanced nutrition.","Used traditionally in Indian medicine and home remedies.
Has cultural and therapeutic uses across regions.","Available seasonally depending on the crop type and region.
Local markets supply it during peak season.","Store in cool, dry conditions to maintain freshness.
Use promptly for best taste and nutrient retention.","Contains vitamins, minerals, and dietary fiber.
Also provides macronutrients appropriate to the crop type."
Apple,"Apple is commonly cultivated or used in India.
It plays an important role in local diets and agriculture.","Provides essential nutrients that support overall health.
Regular consumption contributes to balanced nutrition.","Used traditionally in Indian medicine and home remedies.
Has cultural and therapeutic uses across regions.","Available seasonally depending on the crop type and region.
Local markets supply it during peak season.","Store in cool, dry conditions to maintain freshness.
Use promptly for best taste and nutrient retention.","Contains vitamins, minerals, and dietary fiber.
Also provides macronutrients appropriate to the crop type."
Pomegranate,"Pomegranate is commonly cultivated or used in India.
It plays an important role in local diets and agriculture.","Provides essential nutrients that support overall health.
Regular consumption contributes to balanced nutrition.","Used traditionally in Indian medicine and home remedies.
Has cultural and therapeutic uses across regions.","Available seasonally depending on the crop type and region.
Local markets supply it during peak season.","Store in cool, dry conditions to maintain freshness.
Use promptly for best taste and nutrient retention.","Contains vitamins, minerals, and dietary fiber.
Also provides macronutrients appropriate to the crop type."
Grapes,"Grapes is commonly cultivated or used in India.
It plays an important role in local diets and agriculture.","Provides essential nutrients that support overall health.
Regular consumption contributes to balanced nutrition.","Used traditionally in Indian medicine and home remedies.
Has cultural and therapeutic uses across regions.","Available seasonally depending on the crop type and region.
Local markets supply it during peak season.","Store in cool, dry conditions to maintain freshness.
Use promptly for best taste and nutrient retention.","Contains vitamins, minerals, and dietary fiber.
Also provides macronutrients appropriate to the crop type."
Orange,"Orange is commonly cultivated or used in India.
It plays an important role in local diets and agriculture.","Provides essential nutrients that support overall health.
Regular consumption contributes to balanced nutrition.","Used traditionally in Indian medicine and home remedies.
Has cultural and therapeutic uses across regions.","Available seasonally depending on the crop type and region.
Local markets supply it during peak season.","Store in cool, dry conditions to maintain freshness.
Use promptly for best taste and nutrient retention.","Contains vitamins, minerals, and dietary fiber.
Also provides macronutrients appropriate to the crop type."
Pineapple,"Pineapple is commonly cultivated or used in India.
It plays an important role in local diets and agriculture.","Provides essential nutrients that support overall health.
Regular consumption contributes to balanced nutrition.","Used traditionally in Indian medicine and home remedies.
Has cultural and therapeutic uses across regions.","Available seasonally depending on the crop type and region.
Local markets supply it during peak season.","Store in cool, dry conditions to maintain freshness.
Use promptly for best taste and nutrient retention.","Contains vitamins, minerals, and dietary fiber.
Also provides macronutrients appropriate to the crop type."
Sapota,"Sapota is commonly cultivated or used in India.
It plays an important role in local diets and agriculture.","Provides essential nutrients that support overall health.
Regular consumption contributes to balanced nutrition.","Used traditionally in Indian medicine and home remedies.
Has cultural and therapeutic uses across regions.","Available seasonally depending on the crop type and region.
Local markets supply it during peak season.","Store in cool, dry conditions to maintain freshness.
Use promptly for best taste and nutrient retention.","Contains vitamins, minerals, and dietary fiber.
Also provides macronutrients appropriate to the crop type."
